Country,Year,Region,Temperature
North Hemisphere,1880,North Hemisphere,-33
South Hemisphere,1880,South Hemisphere,-5
North Hemisphere,1881,North Hemisphere,-18
South Hemisphere,1881,South Hemisphere,-2
North Hemisphere,1882,North Hemisphere,-17
South Hemisphere,1882,South Hemisphere,-1
North Hemisphere,1883,North Hemisphere,-30
South Hemisphere,1883,South Hemisphere,-8
North Hemisphere,1884,North Hemisphere,-42
South Hemisphere,1884,South Hemisphere,-12
North Hemisphere,1885,North Hemisphere,-41
South Hemisphere,1885,South Hemisphere,-21
North Hemisphere,1886,North Hemisphere,-39
South Hemisphere,1886,South Hemisphere,-21
North Hemisphere,1887,North Hemisphere,-37
South Hemisphere,1887,South Hemisphere,-28
North Hemisphere,1888,North Hemisphere,-22
South Hemisphere,1888,South Hemisphere,-17
North Hemisphere,1889,North Hemisphere,-16
South Hemisphere,1889,South Hemisphere,-6
North Hemisphere,1890,North Hemisphere,-40
South Hemisphere,1890,South Hemisphere,-33
North Hemisphere,1891,North Hemisphere,-23
South Hemisphere,1891,South Hemisphere,-24
North Hemisphere,1892,North Hemisphere,-30
South Hemisphere,1892,South Hemisphere,-21
North Hemisphere,1893,North Hemisphere,-39
South Hemisphere,1893,South Hemisphere,-19
North Hemisphere,1894,North Hemisphere,-37
South Hemisphere,1894,South Hemisphere,-23
North Hemisphere,1895,North Hemisphere,-28
South Hemisphere,1895,South Hemisphere,-14
North Hemisphere,1896,North Hemisphere,-20
South Hemisphere,1896,South Hemisphere,-8
North Hemisphere,1897,North Hemisphere,-13
South Hemisphere,1897,South Hemisphere,-9
North Hemisphere,1898,North Hemisphere,-28
South Hemisphere,1898,South Hemisphere,-29
North Hemisphere,1899,North Hemisphere,-17
South Hemisphere,1899,South Hemisphere,-15
North Hemisphere,1900,North Hemisphere,-3
South Hemisphere,1900,South Hemisphere,-13
North Hemisphere,1901,North Hemisphere,-8
South Hemisphere,1901,South Hemisphere,-19
North Hemisphere,1902,North Hemisphere,-29
South Hemisphere,1902,South Hemisphere,-23
North Hemisphere,1903,North Hemisphere,-35
South Hemisphere,1903,South Hemisphere,-35
North Hemisphere,1904,North Hemisphere,-45
South Hemisphere,1904,South Hemisphere,-42
North Hemisphere,1905,North Hemisphere,-28
South Hemisphere,1905,South Hemisphere,-26
North Hemisphere,1906,North Hemisphere,-20
South Hemisphere,1906,South Hemisphere,-23
North Hemisphere,1907,North Hemisphere,-46
South Hemisphere,1907,South Hemisphere,-31
North Hemisphere,1908,North Hemisphere,-45
South Hemisphere,1908,South Hemisphere,-39
North Hemisphere,1909,North Hemisphere,-48
South Hemisphere,1909,South Hemisphere,-46
North Hemisphere,1910,North Hemisphere,-43
South Hemisphere,1910,South Hemisphere,-41
North Hemisphere,1911,North Hemisphere,-41
South Hemisphere,1911,South Hemisphere,-47
North Hemisphere,1912,North Hemisphere,-47
South Hemisphere,1912,South Hemisphere,-22
North Hemisphere,1913,North Hemisphere,-42
South Hemisphere,1913,South Hemisphere,-25
North Hemisphere,1914,North Hemisphere,-18
South Hemisphere,1914,South Hemisphere,-13
North Hemisphere,1915,North Hemisphere,-9
South Hemisphere,1915,South Hemisphere,-11
North Hemisphere,1916,North Hemisphere,-35
South Hemisphere,1916,South Hemisphere,-30
North Hemisphere,1917,North Hemisphere,-52
South Hemisphere,1917,South Hemisphere,-26
North Hemisphere,1918,North Hemisphere,-32
South Hemisphere,1918,South Hemisphere,-17
North Hemisphere,1919,North Hemisphere,-32
South Hemisphere,1919,South Hemisphere,-10
North Hemisphere,1920,North Hemisphere,-26
South Hemisphere,1920,South Hemisphere,-24
North Hemisphere,1921,North Hemisphere,-8
South Hemisphere,1921,South Hemisphere,-31
North Hemisphere,1922,North Hemisphere,-25
South Hemisphere,1922,South Hemisphere,-27
North Hemisphere,1923,North Hemisphere,-18
South Hemisphere,1923,South Hemisphere,-27
North Hemisphere,1924,North Hemisphere,-15
South Hemisphere,1924,South Hemisphere,-38
North Hemisphere,1925,North Hemisphere,-7
South Hemisphere,1925,South Hemisphere,-30
North Hemisphere,1926,North Hemisphere,4
South Hemisphere,1926,South Hemisphere,-21
North Hemisphere,1927,North Hemisphere,-10
South Hemisphere,1927,South Hemisphere,-29
North Hemisphere,1928,North Hemisphere,-7
South Hemisphere,1928,South Hemisphere,-33
North Hemisphere,1929,North Hemisphere,-30
South Hemisphere,1929,South Hemisphere,-40
North Hemisphere,1930,North Hemisphere,2
South Hemisphere,1930,South Hemisphere,-29
North Hemisphere,1931,North Hemisphere,5
South Hemisphere,1931,South Hemisphere,-23
North Hemisphere,1932,North Hemisphere,-3
South Hemisphere,1932,South Hemisphere,-30
North Hemisphere,1933,North Hemisphere,-24
South Hemisphere,1933,South Hemisphere,-31
North Hemisphere,1934,North Hemisphere,1
South Hemisphere,1934,South Hemisphere,-27
