Country,Year,Region,Temperature
24N-90N,1880,24N-90N,-38
24S-24N,1880,24S-24N,-16
90S-24S,1880,90S-24S,-5
64N-90N,1880,64N-90N,-89
44N-64N,1880,44N-64N,-54
44N-64N,1880,44N-64N,-54
24N-44N,1880,24N-44N,-22
EQU-24N,1880,EQU-24N,-26
24S-EQU,1880,24S-EQU,-5
44S-24S,1880,44S-24S,-2
64S-44S,1880,64S-44S,-8
90S-64S,1880,90S-64S,39
24N-90N,1881,24N-90N,-27
24S-24N,1881,24S-24N,-2
90S-24S,1881,90S-24S,-5
64N-90N,1881,64N-90N,-54
44N-64N,1881,44N-64N,-40
44N-64N,1881,44N-64N,-40
24N-44N,1881,24N-44N,-14
EQU-24N,1881,EQU-24N,-5
24S-EQU,1881,24S-EQU,2
44S-24S,1881,44S-24S,-6
64S-44S,1881,64S-44S,-3
90S-64S,1881,90S-64S,37
24N-90N,1882,24N-90N,-21
24S-24N,1882,24S-24N,-10
90S-24S,1882,90S-24S,4
64N-90N,1882,64N-90N,-125
44N-64N,1882,44N-64N,-20
44N-64N,1882,44N-64N,-20
24N-44N,1882,24N-44N,-3
EQU-24N,1882,EQU-24N,-12
24S-EQU,1882,24S-EQU,-8
44S-24S,1882,44S-24S,3
64S-44S,1882,64S-44S,8
90S-64S,1882,90S-64S,42
24N-90N,1883,24N-90N,-34
24S-24N,1883,24S-24N,-22
90S-24S,1883,90S-24S,-2
64N-90N,1883,64N-90N,-28
44N-64N,1883,44N-64N,-57
44N-64N,1883,44N-64N,-57
24N-44N,1883,24N-44N,-20
EQU-24N,1883,EQU-24N,-25
24S-EQU,1883,24S-EQU,-19
44S-24S,1883,44S-24S,-1
64S-44S,1883,64S-44S,0
90S-64S,1883,90S-64S,37
24N-90N,1884,24N-90N,-56
24S-24N,1884,24S-24N,-17
90S-24S,1884,90S-24S,-11
64N-90N,1884,64N-90N,-127
44N-64N,1884,44N-64N,-58
44N-64N,1884,44N-64N,-58
24N-44N,1884,24N-44N,-41
EQU-24N,1884,EQU-24N,-21
24S-EQU,1884,24S-EQU,-14
44S-24S,1884,44S-24S,-15
64S-44S,1884,64S-44S,-5
90S-64S,1884,90S-64S,40
24N-90N,1885,24N-90N,-61
24S-24N,1885,24S-24N,-17
90S-24S,1885,90S-24S,-20
64N-90N,1885,64N-90N,-119
44N-64N,1885,44N-64N,-70
44N-64N,1885,44N-64N,-70
24N-44N,1885,24N-44N,-43
EQU-24N,1885,EQU-24N,-11
24S-EQU,1885,24S-EQU,-23
44S-24S,1885,44S-24S,-27
64S-44S,1885,64S-44S,-7
90S-64S,1885,90S-64S,38
24N-90N,1886,24N-90N,-49
24S-24N,1886,24S-24N,-24
90S-24S,1886,90S-24S,-20
64N-90N,1886,64N-90N,-124
44N-64N,1886,44N-64N,-43
44N-64N,1886,44N-64N,-43
24N-44N,1886,24N-44N,-38
EQU-24N,1886,EQU-24N,-24
24S-EQU,1886,24S-EQU,-24
44S-24S,1886,44S-24S,-18
64S-44S,1886,64S-44S,-21
90S-64S,1886,90S-64S,28
24N-90N,1887,24N-90N,-46
24S-24N,1887,24S-24N,-27
90S-24S,1887,90S-24S,-26
64N-90N,1887,64N-90N,-158
44N-64N,1887,44N-64N,-52
44N-64N,1887,44N-64N,-52
24N-44N,1887,24N-44N,-21
EQU-24N,1887,EQU-24N,-24
24S-EQU,1887,24S-EQU,-31
44S-24S,1887,44S-24S,-24
64S-44S,1887,64S-44S,-29
90S-64S,1887,90S-64S,21
24N-90N,1888,24N-90N,-42
24S-24N,1888,24S-24N,7
90S-24S,1888,90S-24S,-33
64N-90N,1888,64N-90N,-141
44N-64N,1888,44N-64N,-43
44N-64N,1888,44N-64N,-43
24N-44N,1888,24N-44N,-22
EQU-24N,1888,EQU-24N,7
24S-EQU,1888,24S-EQU,8
44S-24S,1888,44S-24S,-30
64S-44S,1888,64S-44S,-38
90S-64S,1888,90S-64S,16
24N-90N,1889,24N-90N,-25
24S-24N,1889,24S-24N,4
90S-24S,1889,90S-24S,-17
64N-90N,1889,64N-90N,-82
44N-64N,1889,44N-64N,-13
44N-64N,1889,44N-64N,-13
24N-44N,1889,24N-44N,-21
EQU-24N,1889,EQU-24N,-3
24S-EQU,1889,24S-EQU,11
44S-24S,1889,44S-24S,-16
64S-44S,1889,64S-44S,-17
90S-64S,1889,90S-64S,19
24N-90N,1890,24N-90N,-44
24S-24N,1890,24S-24N,-39
90S-24S,1890,90S-24S,-26
64N-90N,1890,64N-90N,-127
44N-64N,1890,44N-64N,-41
44N-64N,1890,44N-64N,-41
24N-44N,1890,24N-44N,-30
EQU-24N,1890,EQU-24N,-35
24S-EQU,1890,24S-EQU,-43
44S-24S,1890,44S-24S,-16
64S-44S,1890,64S-44S,-40
90S-64S,1890,90S-64S,4
24N-90N,1891,24N-90N,-33
24S-24N,1891,24S-24N,-16
90S-24S,1891,90S-24S,-23
64N-90N,1891,64N-90N,-118
44N-64N,1891,44N-64N,-17
44N-64N,1891,44N-64N,-17
24N-44N,1891,24N-44N,-27
EQU-24N,1891,EQU-24N,-8
24S-EQU,1891,24S-EQU,-24
44S-24S,1891,44S-24S,-20
64S-44S,1891,64S-44S,-28
90S-64S,1891,90S-64S,9
24N-90N,1892,24N-90N,-29
24S-24N,1892,24S-24N,-30
90S-24S,1892,90S-24S,-16
64N-90N,1892,64N-90N,-119
44N-64N,1892,44N-64N,-30
44N-64N,1892,44N-64N,-30
24N-44N,1892,24N-44N,-12
EQU-24N,1892,EQU-24N,-32
24S-EQU,1892,24S-EQU,-29
44S-24S,1892,44S-24S,-4
64S-44S,1892,64S-44S,-34
90S-64S,1892,90S-64S,5
24N-90N,1893,24N-90N,-37
24S-24N,1893,24S-24N,-40
90S-24S,1893,90S-24S,-7
64N-90N,1893,64N-90N,-76
44N-64N,1893,44N-64N,-35
44N-64N,1893,44N-64N,-35
24N-44N,1893,24N-44N,-30
EQU-24N,1893,EQU-24N,-43
24S-EQU,1893,24S-EQU,-36
44S-24S,1893,44S-24S,3
